EventID,PhotoID,EventPhotoRank,RandomValue
28,4034,1000,"-0.0563504,4034"
28,2155,1000,"0.0713335,2155"
28,2156,1000,"0.0829942,2156"
28,14518,1000,"0.150929,14518"
28,792,1000,"0.161114,792"
28,14519,1000,"0.16248,14519"
28,14520,1000,"0.174009,14520"
28,522,1000,"-0.177114,522"
28,14522,1000,"0.196994,14522"
28,1095,1000,"0.238063,1095"
28,6960,1000,"-0.276023,6960"
28,6959,1000,"-0.287245,6959"
28,1049,1000,"-0.293254,1049"
28,1640,1000,"0.325289,1640"
28,1641,1000,"0.336326,1641"
28,14474,1000,"-0.355175,14474"
28,8295,1000,"0.365266,8295"
28,14473,1000,"-0.366083,14473"
28,14472,1000,"-0.376942,14472"
28,843,1000,"-0.421101,843"
28,844,1000,"-0.43168,844"
28,845,1000,"-0.4422,845"
28,14011,1000,"0.483804,14011"
28,3986,1000,"0.483817,3986"
28,14013,1000,"0.504142,14013"
28,14014,1000,"0.514208,14014"
28,14015,1000,"0.524203,14015"
28,5957,1000,"0.527772,5957"
28,5958,1000,"0.53767,5958"
28,14017,1000,"0.543978,14017"
28,14018,1000,"0.553754,14018"
28,5960,1000,"0.557243,5960"
28,7573,1000,"0.570075,7573"
28,7574,1000,"0.579645,7574"
28,54,1000,"0.590409,54"
28,55,1000,"0.599808,55"
28,4086,1000,"-0.616708,4086"
28,9190,1000,"0.620135,9190"
28,58,1000,"0.627508,58"
28,4088,1000,"-0.634951,4088"
28,59,1000,"0.636571,59"
28,9192,1000,"0.638314,9192"
28,478,1000,"-0.638588,478"
28,60,1000,"0.645547,60"
28,61,1000,"0.654435,61"
28,3968,1000,"0.65602,3968"
28,9195,1000,"0.664924,9195"
28,14031,1000,"0.673482,14031"
28,14032,1000,"0.682081,14032"
28,14034,1000,"0.698999,14034"
28,7864,1000,"-0.763322,7864"
28,3029,1000,"-0.763437,3029"
28,6797,1000,"-0.81663,6797"
28,83,1000,"0.825303,83"
28,4653,1000,"-0.84832,4653"
28,3405,1000,"0.850535,3405"
28,4119,1000,"-0.867677,4119"
28,3936,1000,"0.886532,3936"
28,7350,1000,"-0.908658,7350"
28,7351,1000,"-0.913479,7351"
28,2856,1000,"0.914686,2856"
28,3591,1000,"-0.916159,3591"
28,7352,1000,"-0.918175,7352"
28,9770,1000,"0.920441,9770"
28,9772,1000,"0.929332,9772"
28,6613,1000,"0.930748,6613"
28,7674,1000,"0.976534,7674"
28,7673,1000,"0.978986,7673"
28,6061,1000,"0.979762,6061"
28,7672,1000,"0.981304,7672"
28,7671,1000,"0.983488,7671"
29,12536,1000,"0.861456,12536"
30,,,
31,4027,1000,"0.0254866,4027"
31,1077,1000,"0.0298448,1077"
31,4804,1000,"-0.354841,4804"
31,4803,1000,"-0.365751,4803"
31,4802,1000,"-0.376611,4802"
31,4798,1000,"-0.419521,4798"
31,12662,1000,"-0.421884,12662"
31,4796,1000,"-0.440638,4796"
31,4795,1000,"-0.451106,4795"
31,3264,1000,"0.457787,3264"
31,1570,1000,"-0.468311,1570"
31,4793,1000,"-0.471857,4793"
31,4791,1000,"-0.49235,4791"
31,4790,1000,"-0.502496,4790"
31,6938,1000,"-0.511525,6938"
31,4789,1000,"-0.512573,4789"
31,4788,1000,"-0.52258,4788"
31,4786,1000,"-0.542378,4786"
31,4782,1000,"-0.581074,4782"
31,215,1000,"0.58674,215"
31,4781,1000,"-0.590553,4781"
31,56,1000,"0.609125,56"
31,57,1000,"0.618359,57"
31,4778,1000,"-0.618499,4778"
31,4087,1000,"-0.625873,4087"
31,23573,1000,"-0.687827,23573"
31,3426,1000,"0.697134,3426"
31,14707,1000,"0.702999,14707"
31,3958,1000,"0.739609,3958"
31,4215,1000,"-0.823923,4215"
31,23458,1000,"-0.861441,23458"
31,11642,1000,"-0.878314,11642"
31,18102,1000,"-0.941828,18102"
31,24330,1000,"0.971067,24330"
31,12474,1000,"0.981536,12474"
32,56,3,"0.609125,56"
32,3782,1000,"0.248051,3782"
32,57,1000,"0.618359,57"
32,12553,1000,"0.744179,12553"
32,3957,1000,"0.74743,3957"
33,12816,1000,"-0.786388,12816"
34,3491,1000,"0.0111746,3491"
34,7783,1000,"0.0788265,7783"
34,19869,1000,"-0.0967465,19869"
34,15565,1000,"-0.168702,15565"
34,15564,1000,"-0.180218,15564"
34,15563,1000,"-0.19171,15563"
34,15561,1000,"-0.214612,15561"
34,22544,1000,"-0.225006,22544"
34,22323,1000,"-0.323952,22323"
34,7756,1000,"0.384523,7756"
34,19830,1000,"-0.525267,19830"
34,62,1000,"0.663233,62"
34,63,1000,"0.671941,63"
34,64,1000,"0.680556,64"
34,65,1000,"0.689079,65"
34,66,1000,"0.697507,66"
34,15505,1000,"-0.765135,15505"
34,17537,1000,"-0.785293,17537"
34,8784,1000,"0.806335,8784"
34,351,1000,"-0.821241,351"
34,352,1000,"-0.827858,352"
34,353,1000,"-0.834361,353"
34,452,1000,"-0.83971,452"
34,354,1000,"-0.840751,354"
34,355,1000,"-0.847026,355"
34,356,1000,"-0.853185,356"
34,357,1000,"-0.859227,357"
34,976,1000,"-0.91334,976"
34,7958,1000,"-0.922212,7958"
34,918,1000,"-0.966656,918"
34,3639,1000,"-0.988922,3639"
34,18120,1000,"-0.991268,18120"
34,17068,1000,"-0.991523,17068"
34,4690,1000,"-0.992166,4690"
35,9681,1000,"0.127944,9681"
35,1100,1000,"0.294421,1100"
35,9637,1000,"-0.376776,9637"
35,23065,1000,"-0.404744,23065"
35,3455,1000,"0.418886,3455"
35,21988,1000,"-0.431854,21988"
35,766,1000,"0.449233,766"
35,17234,1000,"0.480284,17234"
35,8547,1000,"-0.538121,8547"
35,5968,1000,"0.632384,5968"
35,14296,1000,"-0.641664,14296"
35,67,1000,"0.70584,67"
35,68,1000,"0.714077,68"
35,69,1000,"0.722216,69"
35,70,1000,"0.730255,70"
35,71,1000,"0.738196,71"
35,72,1000,"0.746035,72"
35,14701,1000,"0.751135,14701"
35,21849,1000,"-0.876888,21849"
35,3935,1000,"0.891882,3935"
35,707,1000,"0.915178,707"
35,910,1000,"-0.938503,910"
35,14396,1000,"-0.956676,14396"
35,21333,1000,"-0.968111,21333"
35,21345,1000,"-0.993637,21345"
36,23398,1000,"-0.330055,23398"
36,772,1000,"0.385484,772"
36,771,1000,"0.39625,771"
36,73,1000,"0.753772,73"
36,74,1000,"0.761406,74"
36,75,1000,"0.768935,75"
36,76,1000,"0.77636,76"
36,77,1000,"0.783678,77"
36,78,1000,"0.790889,78"
36,4720,1000,"-0.974656,4720"
37,15222,1000,"0.862166,15222"
38,1635,1000,"0.269467,1635"
38,2210,1000,"0.655357,2210"
39,3258,1000,"0.394322,3258"
40,,,
41,,,
42,12945,1000,"0.567774,12945"
43,12816,1000,"-0.786388,12816"
44,2441,1000,"-0.271315,2441"
44,2713,1000,"0.309231,2713"
44,13216,1000,"-0.590541,13216"
44,12681,1000,"-0.611329,12681"
44,3012,1000,"-0.620823,3012"
44,2896,1000,"0.634146,2896"
44,3424,1000,"0.713712,3424"
44,13625,1000,"0.762995,13625"
44,2860,1000,"0.894784,2860"
44,18094,1000,"-0.906308,18094"
44,2852,1000,"0.932586,2852"
44,2849,1000,"0.944674,2849"
44,13305,1000,"-0.994818,13305"
45,2390,1000,"0.316199,2390"
45,12816,1000,"-0.786388,12816"
45,3407,1000,"0.838001,3407"
45,15222,1000,"0.862166,15222"
45,2055,1000,"-0.890376,2055"
46,22830,1000,"0.0235823,22830"
46,22829,1000,"0.0352728,22829"
46,80,1000,"0.804986,80"
46,919,1000,"-0.969585,919"
46,15430,1000,"-0.984265,15430"
47,9636,1000,"-0.387584,9636"
47,81,1000,"0.81187,81"
47,9227,1000,"0.891956,9227"
47,21384,1000,"-0.941663,21384"
48,922,2,"-0.977574,922"
48,6179,1000,"-0.0108176,6179"
48,7243,1000,"0.111146,7243"
48,527,1000,"-0.119291,527"
48,526,1000,"-0.130894,526"
48,525,1000,"-0.14248,525"
48,6699,1000,"0.189475,6699"
48,296,1000,"-0.314871,296"
48,834,1000,"-0.323473,834"
48,297,1000,"-0.32595,297"
48,23401,1000,"-0.362966,23401"
48,23403,1000,"-0.384661,23403"
48,23404,1000,"-0.39543,23404"
48,23405,1000,"-0.406145,23405"
48,2918,1000,"0.416507,2918"
48,8901,1000,"-0.417291,8901"
48,23407,1000,"-0.427407,23407"
48,23409,1000,"-0.448435,23409"
48,12145,1000,"-0.622595,12145"
48,7722,1000,"0.712001,7722"
48,7721,1000,"0.720164,7721"
48,8252,1000,"0.768716,8252"
48,2762,1000,"0.775478,2762"
48,16468,1000,"-0.823121,16468"
48,84,1000,"0.831851,84"
48,15135,1000,"0.884089,15135"
48,15136,1000,"0.889494,15136"
48,15137,1000,"0.894778,15137"
48,3588,1000,"-0.901535,3588"
48,12796,1000,"-0.908154,12796"
48,977,1000,"-0.908515,977"
48,2792,1000,"0.945244,2792"
48,2793,1000,"0.948996,2793"
48,21382,1000,"-0.949277,21382"
48,17031,1000,"-0.954612,17031"
48,17032,1000,"-0.95803,17032"
48,13854,1000,"-0.971439,13854"
48,1193,1000,"0.983074,1193"
48,12210,1000,"-0.990421,12210"
48,21365,1000,"-0.992683,21365"
48,23500,1000,"-0.99914,23500"
48,23507,1000,"-0.999184,23507"
48,23501,1000,"-0.999557,23501"
48,23502,1000,"-0.999836,23502"
48,23505,1000,"-0.999855,23505"
48,23503,1000,"-0.99998,23503"
48,23504,1000,"-0.999986,23504"
49,23913,1000,"-0.0763643,23913"
49,5362,1000,"-0.119468,5362"
49,2132,1000,"-0.196322,2132"
49,13195,1000,"-0.376597,13195"
49,858,1000,"-0.572944,858"
49,3287,1000,"0.677607,3287"
49,11890,1000,"0.738778,11890"
49,85,1000,"0.838285,85"
49,86,1000,"0.844605,86"
49,89,1000,"0.862866,89"
49,90,1000,"0.868718,90"
49,91,1000,"0.874452,91"
49,2861,1000,"0.889501,2861"
49,14411,1000,"-0.891174,14411"
49,979,1000,"-0.898493,979"
49,13333,1000,"-0.909247,13333"
49,12473,1000,"0.979232,12473"
49,13552,1000,"0.988633,13552"
49,21620,1000,"0.999272,21620"
49,14639,1000,"0.999992,14639"
50,,1000,
50,,1000,
50,,1000,
50,,1000,
50,,1000,
50,10476,1000,"-0.00156253,10476"
50,8058,1000,"-0.00419604,8058"
50,8059,1000,"0.00749954,8059"
50,10475,1000,"0.010133,10475"
50,8057,1000,"-0.015891,8057"
50,8060,1000,"0.0191941,8060"
50,10474,1000,"0.021827,10474"
50,8061,1000,"0.030886,8061"
50,10473,1000,"0.0335182,10473"
50,10479,1000,"-0.0366413,10479"
50,10472,1000,"0.0452047,10472"
50,10480,1000,"-0.0483263,10480"
50,10482,1000,"-0.0716749,10482"
50,8067,1000,"0.100893,8067"
50,10485,1000,"-0.10662,10485"
50,8068,1000,"0.112522,8068"
50,10486,1000,"-0.118242,10486"
50,8069,1000,"0.124135,8069"
50,10487,1000,"-0.129847,10487"
50,10488,1000,"-0.141435,10488"
50,10490,1000,"-0.16455,10490"
50,10491,1000,"-0.176075,10491"
50,521,1000,"-0.188613,521"
50,520,1000,"-0.200085,520"
50,8076,1000,"0.204865,8076"
50,23349,1000,"0.23452,23349"
50,11258,1000,"-0.273677,11258"
50,22324,1000,"-0.334995,22324"
50,10781,1000,"0.414274,10781"
50,1397,1000,"-0.589844,1397"
50,1403,1000,"-0.645013,1403"
50,883,1000,"-0.784869,883"
50,1803,1000,"0.785735,1803"
50,186,1000,"0.822732,186"
50,183,1000,"0.842166,183"
50,182,1000,"0.848415,182"
50,181,1000,"0.854548,181"
50,180,1000,"0.860563,180"
50,92,1000,"0.880066,92"
50,7886,1000,"-0.902588,7886"
50,6887,1000,"-0.905873,6887"
50,7887,1000,"-0.907561,7887"
50,7888,1000,"-0.91241,7888"
50,6079,1000,"0.916302,6079"
50,2249,1000,"0.921057,2249"
50,7890,1000,"-0.921733,7890"
50,7891,1000,"-0.926206,7891"
50,7892,1000,"-0.930552,7892"
50,2791,1000,"0.941362,2791"
50,6878,1000,"-0.94536,6878"
50,7090,1000,"0.946037,7090"
50,24337,1000,"0.948285,24337"
50,7902,1000,"-0.966922,7902"
50,10900,1000,"0.969373,10900"
50,7903,1000,"-0.969839,7903"
50,7905,1000,"-0.975275,7905"
50,10860,1000,"0.975964,10860"
50,7906,1000,"-0.977793,7906"
50,7907,1000,"-0.980177,7907"
50,7909,1000,"-0.984543,7909"
50,8984,1000,"-0.985653,8984"
50,7910,1000,"-0.986524,7910"
50,7911,1000,"-0.98837,7911"
50,7912,1000,"-0.990081,7912"
50,10867,1000,"0.990517,10867"
50,7914,1000,"-0.993096,7914"
50,7915,1000,"-0.9944,7915"
50,19201,1000,"-0.998454,19201"
50,19202,1000,"-0.999036,19202"
50,19203,1000,"-0.999481,19203"
50,1209,1000,"0.999996,1209"
51,,1000,
51,6183,1000,"-0.0575686,6183"
51,6184,1000,"-0.0692406,6184"
51,5902,1000,"-0.087175,5902"
51,5917,1000,"0.0880349,5917"
51,21497,1000,"0.0939327,21497"
51,5897,1000,"-0.145248,5897"
51,9634,1000,"-0.409039,9634"
51,14999,1000,"-0.484741,14999"
51,14997,1000,"-0.505066,14997"
51,1657,1000,"0.505657,1657"
51,14990,1000,"-0.573956,14990"
51,1146,1000,"0.742537,1146"
51,1147,1000,"0.750319,1147"
51,1421,1000,"-0.790461,1421"
51,3680,1000,"-0.808906,3680"
51,3679,1000,"-0.815727,3679"
51,3678,1000,"-0.822436,3678"
51,94,1000,"0.890931,94"
51,14406,1000,"-0.916165,14406"
51,14405,1000,"-0.92079,14405"
51,21865,1000,"-0.951008,21865"
51,21329,1000,"-0.955336,21329"
51,21378,1000,"-0.962943,21378"
51,21367,1000,"-0.989588,21367"
52,539,1000,"0.0207709,539"
52,776,1000,"0.341911,776"
52,775,1000,"0.352879,775"
52,774,1000,"0.363797,774"
52,773,1000,"0.374667,773"
52,770,1000,"0.40696,770"
52,769,1000,"0.417616,769"
52,768,1000,"0.428214,768"
52,21988,1000,"-0.431854,21988"
52,765,1000,"0.459651,765"
52,5599,1000,"0.470164,5599"
52,9083,1000,"-0.550131,9083"
52,7306,1000,"-0.585462,7306"
52,9766,1000,"0.901155,9766"
52,96,1000,"0.901309,96"
52,21324,1000,"-0.936431,21324"
52,9239,1000,"0.946432,9239"
52,9241,1000,"0.953726,9241"
52,9242,1000,"0.957177,9242"
52,21370,1000,"-0.98393,21370"
53,4694,3,"-0.996923,4694"
53,,1000,
53,14237,1000,"-0.00662172,14237"
53,14234,1000,"0.0284614,14234"
53,3495,1000,"-0.0356003,3495"
53,11554,1000,"-0.0430941,11554"
53,14241,1000,"-0.053379,14241"
53,14242,1000,"-0.0650541,14242"
53,16378,1000,"0.0856183,16378"
53,3482,1000,"0.116173,3482"
53,4308,1000,"0.119113,4308"
53,13689,1000,"0.119128,13689"
53,4309,1000,"0.130717,4309"
53,11539,1000,"0.131942,11539"
53,8342,1000,"-0.174873,8342"
53,11566,1000,"-0.182428,11566"
53,15026,1000,"-0.189139,15026"
53,15025,1000,"-0.20061,15025"
53,519,1000,"-0.211531,519"
53,15024,1000,"-0.212054,15024"
53,287,1000,"-0.213406,287"
53,15023,1000,"-0.223469,15023"
53,15022,1000,"-0.234853,15022"
53,15021,1000,"-0.246205,15021"
53,15020,1000,"-0.257524,15020"
53,19637,1000,"-0.325275,19637"
53,6955,1000,"-0.331726,6955"
53,3790,1000,"0.337475,3790"
53,3791,1000,"0.348461,3791"
53,300,1000,"-0.358914,300"
53,19642,1000,"-0.379986,19642"
53,8025,1000,"-0.38033,8025"
53,8024,1000,"-0.39112,8024"
53,19574,1000,"0.3945,19574"
53,1650,1000,"0.433411,1650"
53,5142,1000,"-0.43388,5142"
53,1651,1000,"0.443921,1651"
53,15082,1000,"0.448129,15082"
53,2109,1000,"-0.449858,2109"
53,14545,1000,"0.450469,14545"
53,847,1000,"-0.463057,847"
53,848,1000,"-0.473391,848"
53,9627,1000,"-0.482293,9627"
53,1300,1000,"0.482593,1300"
53,5147,1000,"-0.485795,5147"
53,851,1000,"-0.504,851"
53,1297,1000,"0.51302,1297"
53,7475,1000,"-0.513773,7475"
53,16875,1000,"0.527936,16875"
53,15090,1000,"0.529692,15090"
53,15091,1000,"0.539575,15091"
53,15092,1000,"0.549385,15092"
53,7842,1000,"-0.573798,7842"
53,7844,1000,"-0.592796,7844"
53,7845,1000,"-0.602175,7845"
53,7734,1000,"0.606774,7734"
53,7846,1000,"-0.611471,7846"
53,7732,1000,"0.625199,7732"
53,7848,1000,"-0.62981,7848"
53,7731,1000,"0.634284,7731"
53,7849,1000,"-0.638852,7849"
53,3430,1000,"0.662843,3430"
53,475,1000,"-0.665191,475"
53,14441,1000,"-0.680949,14441"
53,472,1000,"-0.690975,472"
53,7855,1000,"-0.691222,7855"
53,7050,1000,"0.698254,7050"
53,7051,1000,"0.706578,7051"
53,4498,1000,"0.717371,4498"
53,15113,1000,"0.736064,15113"
53,4638,1000,"-0.742885,4638"
53,15114,1000,"0.74393,15114"
53,1684,1000,"0.748586,1684"
53,14700,1000,"0.758804,14700"
53,4223,1000,"-0.767373,4223"
53,4758,1000,"-0.783789,4758"
53,14428,1000,"-0.784011,14428"
53,13777,1000,"-0.789385,13777"
53,4220,1000,"-0.789394,4220"
53,15121,1000,"0.796087,15121"
53,15122,1000,"0.803111,15122"
53,4755,1000,"-0.805092,4755"
53,14962,1000,"-0.806854,14962"
53,15123,1000,"0.810024,15123"
53,618,1000,"0.810338,618"
53,13780,1000,"-0.810434,13780"
53,6900,1000,"-0.831273,6900"
53,17913,1000,"0.831859,17913"
53,1429,1000,"-0.84423,1429"
53,3672,1000,"-0.860298,3672"
53,4209,1000,"-0.86163,4209"
53,1432,1000,"-0.862512,1432"
53,4746,1000,"-0.862956,4746"
53,1164,1000,"0.866112,1164"
53,1165,1000,"0.871899,1165"
53,1971,1000,"-0.872837,1971"
53,4120,1000,"-0.873432,4120"
53,6893,1000,"-0.873946,6893"
53,4743,1000,"-0.88015,4743"
53,4205,1000,"-0.884423,4205"
53,1974,1000,"-0.889419,1974"
53,6543,1000,"0.902889,6543"
53,5544,1000,"0.905577,5544"
53,97,1000,"0.906314,97"
53,4127,1000,"-0.910328,4127"
53,170,1000,"0.91412,170"
53,4128,1000,"-0.915106,4128"
53,18634,1000,"-0.919549,18634"
53,4129,1000,"-0.91976,4129"
53,4130,1000,"-0.924287,4130"
53,5540,1000,"0.924423,5540"
53,13801,1000,"-0.928555,13801"
53,4131,1000,"-0.928688,4131"
53,4132,1000,"-0.932962,4132"
53,103,1000,"0.933715,103"
53,13596,1000,"0.934591,13596"
53,4133,1000,"-0.937108,4133"
53,7954,1000,"-0.939286,7954"
53,4134,1000,"-0.941126,4134"
53,23533,1000,"-0.941252,23533"
53,105,1000,"0.941833,105"
53,7953,1000,"-0.943235,7953"
53,4135,1000,"-0.945015,4135"
53,431,1000,"-0.946547,431"
53,375,1000,"-0.947165,375"
53,4191,1000,"-0.948667,4191"
53,4136,1000,"-0.948775,4136"
53,7951,1000,"-0.950745,7951"
53,7950,1000,"-0.954305,7950"
53,6556,1000,"0.957581,6556"
53,427,1000,"-0.960597,427"
53,9244,1000,"0.963686,9244"
53,113,1000,"0.969113,113"
53,4143,1000,"-0.971435,4143"
53,14619,1000,"0.971805,14619"
53,4182,1000,"-0.976647,4182"
53,152,1000,"0.978664,152"
53,9822,1000,"0.978737,9822"
53,1192,1000,"0.980864,1192"
53,151,1000,"0.981,151"
53,4147,1000,"-0.98147,4147"
53,419,1000,"-0.982363,419"
53,8714,1000,"0.982784,8714"
53,13818,1000,"-0.98358,13818"
53,8715,1000,"0.984877,8715"
53,149,1000,"0.985269,149"
53,5252,1000,"-0.986497,5252"
53,8716,1000,"0.986836,8716"
53,148,1000,"0.987202,148"
53,416,1000,"-0.988318,416"
53,1759,1000,"0.988424,1759"
53,8717,1000,"0.98866,8717"
53,122,1000,"0.98966,122"
53,146,1000,"0.990662,146"
53,4152,1000,"-0.990991,4152"
53,3906,1000,"0.991545,3906"
53,414,1000,"-0.991612,414"
53,145,1000,"0.992188,145"
53,413,1000,"-0.993056,413"
53,1756,1000,"0.993138,1756"
53,4691,1000,"-0.993559,4691"
53,144,1000,"0.99358,144"
53,16510,1000,"-0.993657,16510"
53,4173,1000,"-0.993815,4173"
53,412,1000,"-0.994364,412"
53,8721,1000,"0.994601,8721"
53,143,1000,"0.994835,143"
53,411,1000,"-0.995536,411"
53,4693,1000,"-0.995938,4693"
53,142,1000,"0.995954,142"
53,4171,1000,"-0.99614,4171"
53,410,1000,"-0.996572,410"
53,141,1000,"0.996937,141"
53,409,1000,"-0.997471,409"
53,397,1000,"-0.997606,397"
53,140,1000,"0.997783,140"
53,408,1000,"-0.998234,408"
53,5780,1000,"-0.998396,5780"
53,139,1000,"0.998493,139"
53,407,1000,"-0.998861,407"
53,399,1000,"-0.99895,399"
53,138,1000,"0.999067,138"
53,406,1000,"-0.99935,406"
53,400,1000,"-0.999418,400"
53,405,1000,"-0.999704,405"
53,401,1000,"-0.999748,401"
